pl_name,pl_name,t0,period,rstar,rp_rstar,a_rstar,a_rp,b,half_duration,rho_star,T_s,mstar,mass
55 Cnc e,55 Cnc e,2457063.2096,0.7365474,0.94,0.0182,3.532017535694953,193.46338852603083,0.39,0.0329,1.41,5172.0,0.91,0.02514
AU Mic b,AU Mic b,2458330.39153,8.46321,0.75,0.0514,18.922829699008194,368.2821188832317,0.16,0.07291666666666666,2.7446599999999997,3700.0,0.5,0.18
BD+20 594 b,BD+20 594 b,2457068.52877,41.6855,1.08,0.02204,47.98402733018701,2192.5887018492795,,,1.89,5766.0,1.67,0.07
CoRoT-1 b,CoRoT-1 b,2454159.4532,1.5089557,1.11,0.1388,5.331247679327451,38.648276051199424,0.35,,0.93,5950.0,0.95,1.03
CoRoT-10 b,CoRoT-10 b,2454273.3436,13.2406,0.79,0.1269,28.716319523092118,227.58764961446195,0.85,0.06208333333333333,3.32,5075.0,0.89,2.75
CoRoT-11 b,CoRoT-11 b,2454597.679,2.99433,1.37,0.107,6.8433591147707125,63.79966776584911,0.818,0.052102083333333334,0.69,6440.0,1.27,2.33
CoRoT-12 b,CoRoT-12 b,2454398.62707,2.828042,1.12,0.1314,7.710438724758208,58.35783575738078,0.573,0.05363,1.08,5675.0,1.08,0.917
CoRoT-13 b,CoRoT-13 b,2454790.8091,4.03519,1.01,0.0909,10.858059345740523,120.58543954189018,0.374,0.06541666666666666,1.468,5945.0,1.09,1.308
CoRoT-14 b,CoRoT-14 b,2454787.6694,1.51214,1.21,0.0925,4.798238184384121,51.83286702380762,0.86,0.034624999999999996,0.91,6035.0,1.13,7.6
CoRoT-16 b,CoRoT-16 b,2454923.9138,5.35227,1.19,0.101,11.167216151630122,110.52755898884868,0.825,0.049791666666666665,0.93,5650.0,1.1,0.535
CoRoT-17 b,CoRoT-17 b,2454923.3093,3.7681,1.59,,6.234580110951098,94.57333823817392,0.18,0.09833354166666666,0.32,5740.0,1.04,2.43
CoRoT-18 b,CoRoT-18 b,2455321.72412,1.9000693,1.0,0.1341,6.343448592281155,47.121454315819456,0.4,0.049729166666666665,1.35,5440.0,0.95,3.47
CoRoT-19 b,CoRoT-19 b,2455257.4410200003,3.89713,1.65,0.0786,6.7507064628693145,84.02490203555057,0.24,0.09791666666666667,0.38,6090.0,1.21,1.11
CoRoT-2 b,CoRoT-2 b,2454237.5355599998,1.7429935,0.91,0.1682,6.6116480391889265,39.937576298961396,0.221,0.04723,1.814,5625.0,0.96,3.47
CoRoT-20 b,CoRoT-20 b,2455266.0001,9.24285,1.02,0.0842,18.973425500342437,224.1977184759933,0.26,0.04635,1.51,5880.0,1.14,4.3
CoRoT-21 b,CoRoT-21 b,2454399.0282,2.72474,1.95,0.067,4.598379944339404,67.12134771604354,0.25,0.09916666666666665,0.255,6200.0,1.29,2.26
CoRoT-22 b,CoRoT-22 b,2454598.42014,9.75598,1.14,0.03927,17.35347221200911,442.55427034035154,0.012,0.09358333333333332,1.027,5939.0,1.1,0.038
CoRoT-23 b,CoRoT-23 b,2455308.939,3.6313,1.61,0.0671,6.4108965665753335,95.65769321642381,0.56,0.08099999999999999,0.5,5900.0,1.14,2.8
CoRoT-24 b,CoRoT-24 b,2454789.611,5.1134,0.86,0.037,14.002093857617055,355.0929520912702,0.65,0.059375,1.9486299999999999,4950.0,0.91,0.018
CoRoT-24 c,CoRoT-24 c,2454795.3803,11.759,0.86,0.05,24.50366425082985,466.05949961979223,0.3,0.09999999999999999,1.9486299999999999,4950.0,0.91,0.088
CoRoT-25 b,CoRoT-25 b,2454576.2156,4.86069,1.19,0.085,10.444418989712315,111.98814431529246,0.94,0.039999999999999994,0.64637,6040.0,1.09,0.27
CoRoT-26 b,CoRoT-26 b,2454573.6299,4.20474,1.79,0.0718,6.3188220046205625,87.35407401360925,0.33,0.11395833333333333,,5590.0,1.09,0.52
CoRoT-27 b,CoRoT-27 b,2455748.684,3.57532,1.08,0.099,9.477343157331543,98.91119469871032,0.54,0.057708333333333334,1.24,5900.0,1.05,10.39
CoRoT-28 b,CoRoT-28 b,2455755.8466,5.20851,1.78,0.0551,7.284516284794394,132.12405859506705,0.24,0.11875,0.27,5150.0,1.01,0.484
CoRoT-29 b,CoRoT-29 b,2455753.115,2.85057,0.9,0.1028,9.222490232092378,89.74551634401985,0.43,0.045625,1.825,5260.0,0.97,0.85
CoRoT-3 b,CoRoT-3 b,2454283.1383,4.2568,1.56,0.0663,7.971352283607544,119.81185269474172,0.55,0.0705,0.431,6740.0,1.37,21.66
